Feature,RF_Importance,XGB_Importance,CAT_Importance,LGBM_Importance,Avg_Importance
new_policy_count_roll_std_12m,0.00401068902047386,0.0030785939,0.32126011124218257,0,0.08208734853378599
net_income_lag_3,0.0038898586781902426,0.0030821823,0.32031063024775963,0,0.08182066779607935
net_income_roll_median_12m,0.0035097628125761427,0.0028094023,0.3205727838260552,0,0.08172298723466906
unique_customers_roll_std_3m,0.0044476255805763485,0.0026483564,0.3140317821592965,0,0.08028194102762519
net_income_roll_std_6m,0.003648600829808068,0.0025333404,0.3106658799060407,0,0.07921195527420452
ANBP_value_roll_std_12m,0.0042349068966699216,0.0021823577,0.2868801540358439,0,0.07332435466105783
net_income_roll_median_3m,0.004445556566187721,0.0027658946,0.2822880212320239,0,0.0723748681082152
unique_quotations_roll_mean_6m,0.0035207472176381543,0.00268254,0.28122456036921434,0,0.07185696192173009
net_income_roll_std_3m,0.004083115943832531,0.0034938634,0.27839058047035947,0,0.07149188995123766
ANBP_value_roll_sum_3m,0.0037702280833558626,0.0038631002,0.2739506957838559,0,0.07039600601562883
unique_customers_lag_3,0.004468232647327835,0.004410242,0.27036419657950633,0,0.06981066785575166
net_income_roll_mean_6m,0.0034923096096553296,0.002208381,0.2676739263069114,0,0.0683436542191237
new_policy_count_roll_std_6m,0.0037893501269991472,0.0031162,0.24608240425403552,0,0.06324698859014831
unique_quotations_diff_roll_mean_3m,0.005496754564892107,0.0034423675,0.23951848616135274,0,0.06211440206626365
ANBP_value_lag_1,0.00421701991044626,0.0028882136,0.23839928120104384,0,0.06137612868044167
new_policy_count_roll_mean_6m,0.004063844494852904,0.0021877866,0.23727952595929064,0,0.06088278926949477
new_policy_count_roll_median_6m,0.0038321232691104997,0.004325985,0.23504916114611438,0,0.06080181734810265
new_policy_count_roll_std_3m,0.005028605451430886,0.0038334494,0.22963513934138413,0,0.059624298559619975
unique_quotations_roll_sum_12m,0.004507752148586189,0.003131705,0.22854880992380872,0,0.05904706679395924
ANBP_value_roll_median_6m,0.0036872854333506564,0.0017962841,0.2152035622300769,0,0.05517178294296256
unique_customers_roll_mean_12m,0.003892112445499306,0.0031744225,0.2128562045486903,0,0.054980684883955716
net_income_lag_6,0.003740003790251913,0.0035805237,0.20305995948206415,0,0.05259512173178365
net_income_diff_roll_mean_3m,0.005104910211333566,0.0042854818,0.19531982273013973,0,0.051177553674972245
net_income_diff_lag1,0.005348034312435402,0.0034146847,0.18898374212260674,0,0.049436615277203354
unique_quotations_diff_lag1,0.006504136268342986,0.0038871802,0.18303611735978767,0,0.048356858466773206
net_income_roll_sum_3m,0.0034766530862233806,0.0037937236,0.1822402448065442,0,0.0473776553852954
net_income_roll_std_12m,0.0035668329330032123,0.0042003174,0.17860213096899802,0,0.04659232033331063
unique_quotations_mean_profile,0.004477320726104953,0.0021845065,0.17852399093991558,0,0.04629645454293708
ANBP_value_diff_lag1,0.004333247057999721,0.0045464844,0.1573159270176793,0,0.041548914629992356
ANBP_value_roll_std_3m,0.00432743600216617,0.0023558482,0.1254753627488321,0,0.033039661739301354
new_policy_count_diff_roll_mean_3m,0.0051710176846765064,0.007790813,0.11679640333112398,0,0.032439558559582
net_income_roll_sum_6m,0.0037954669412905155,0.003712146,0.11888178049021814,0,0.03159734837720343
new_policy_count_roll_mean_3m,0.003641679470783182,0.0026831646,0.11849013766646448,0,0.03120374542227545
unique_quotations_roll_mean_12m,0.0035603044410989436,0.003393876,0.1140963952221092,0,0.030262643890966032
net_income_roll_median_6m,0.003979901596200003,0.0033371497,0.11233010748553608,0,0.029911789705716042
ANBP_value_roll_median_3m,0.0038383765102211814,0.0029299508,0.11218451241137117,0,0.02973820993826258
ANBP_value_diff_roll_mean_3m,0.004325435012769188,0.0021861382,0.1080781276544169,0,0.028647425212516148
unique_quotations_roll_sum_6m,0.00401865561514682,0.0041181524,0.09594055254995465,0,0.026019340148379966
ANBP_value_roll_mean_3m,0.0034529000349324693,0.0038851257,0.0884480856782348,0,0.02394652786363246
ANBP_value_roll_median_12m,0.003985082153179377,0.005427385,0.07880826750310486,0,0.02205518371775011
net_income_roll_mean_12m,0.0032532997241035925,0.006433115,0.07849625107631869,0,0.022045666418882573
unique_quotations_roll_std_6m,0.0037759331042646416,0.0015550408,0.07422140727768677,0,0.019888095302475935
net_income_lag_1,0.004376880178231451,0.003248487,0.07189344624083048,0,0.019879703329941014
unique_quotations_roll_std_12m,0.0034099170409033455,0.0032888139,0.06995131830983917,0,0.019162512304354354
unique_customers_roll_std_6m,0.003597689002236035,0.0037711242,0.05389488690894958,0,0.015315925021501003
net_income_roll_mean_3m,0.0034340864047689643,0.0016907613,0.04596181886227081,0,0.0127716666424094
ANBP_value_roll_sum_12m,0.0033476065068918774,0.0016642107,0.03539127639366225,0,0.01010077339838338
net_income_roll_sum_12m,0.003671241399331718,0.0032776613,0.031967062156561456,0,0.009728991208684264
ANBP_value_roll_mean_12m,0.0036594629258635217,0.0038941593,0.0,0,0.001888405565842305
